,0,1,2,3,4,5,6,7,8
10,"data analyst, GSC Metrics & Reporting - Seattle, WA",Starbucks,4.0 out of 5 star rating,save job - more...,"
            - Mentors others analysts in databases, tools, access, data prep techniques. Performs exploratory data analysis, cleanses, massages, and aggregates data.","36,605 reviews",https://www.indeed.com//cmp/Starbucks/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=data+analyst%2C+GSC+Metrics+%26+Reporting+-+Seattle%2C+WA&amp;fromjk=7290583b51ff8c91&amp;jcid=a88e611ddef97571,NULL,https://www.indeed.com/rc/clk?jk=7290583b51ff8c91&fccid=a88e611ddef97571&vjs=3
11,Data Analyst,C2S Technologies,3.9 out of 5 star rating,21 days ago,"
            Our growing technology firm is looking for an experienced Data Analyst who is able to turn project requirements into custom-formatted data reports.",12 reviews,https://www.indeed.com//cmp/C2s-Technologies/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=Data+Analyst&amp;fromjk=2bc9f66bb2e032c9&amp;jcid=eb4bc656c7659573,NULL,https://www.indeed.com/company/C2S-Technologies/jobs/Data-Analyst-2bc9f66bb2e032c9?fccid=eb4bc656c7659573&vjs=3
12,Data Analyst,Verisk Financial,NULL,save job - more...,"
            Our Data Classification Analyst position requires someone who doesn’t mind working in an office setting and classifying web content.",NULL,NULL,NULL,https://www.indeed.com/rc/clk?jk=7c3380ee454a3a9d&fccid=5eee5f2f11bba000&vjs=3
13,Data Analyst,Ookla,NULL,25 days ago,"
            We’re looking for a data analyst to join the data engineering team and help us wrangle one of the world's largest collections of data on mobile and fixed…",NULL,NULL,NULL,https://www.indeed.com/rc/clk?jk=c63f3a91d2ac38b5&fccid=514eed10e2a5c252&vjs=3
14,Data Analyst : 19-04017,Akraya Inc.,3.8 out of 5 star rating,17 hours ago,"
Data Analysis, Macros, BUDGETING, FORECASTING, REPORTING, PIVOT, SQL. Successful characteristics for the position are the ability to maintain a high level of…",12 reviews,https://www.indeed.com//cmp/Akraya-Inc./reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=Data+Analyst+%3A+19-04017&amp;fromjk=affecd7487026376&amp;jcid=474b9602e1305593,NULL,https://www.indeed.com/rc/clk?jk=affecd7487026376&fccid=474b9602e1305593&vjs=3
15,Data Analyst,Univar Solutions,3.5 out of 5 star rating,5 days ago,"
            Knowledge of data analyst techniques and tools (R, Python, data modeling, statistical analysis). Experience in Business-to-Business (B2B) service organization,…",414 reviews,https://www.indeed.com//cmp/Univar-Solutions/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=Data+Analyst&amp;fromjk=4f2109340b066622&amp;jcid=7268fada957c2eef,NULL,https://www.indeed.com/rc/clk?jk=4f2109340b066622&fccid=7bd5378918b714d4&vjs=3
16,Data/Financial analyst,"Latitude 36, Inc",4.5 out of 5 star rating,21 hours ago,"
            Successful characteristics for the position are the ability to maintain a high level of attention to detail, the ability to work independently, adjust…",2 reviews,"https://www.indeed.com//cmp/Latitude-36,-Inc/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=Data%5C%2FFinancial+analyst&amp;fromjk=32bbbdefe69efbc7&amp;jcid=644dd4d137f34468",NULL,"https://www.indeed.com/company/Latitude-36,-Inc/jobs/Data-Financial-Analyst-32bbbdefe69efbc7?fccid=644dd4d137f34468&vjs=3"
17,            Jr. Programmer analyst,People tech group,3.8 out of 5 star rating,Sponsored,"
            Programmer analyst roles and responsibilities. Knowledge on data structure concepts. Long term/ Full time employment.*. Please find the below Jr.",69 reviews,https://www.indeed.com//cmp/People-Tech-Group/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=Jr.+Programmer+analyst&amp;fromjk=587071805c0847d1&amp;jcid=6183bad18ec78af9,"Redmond, WA",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C2UUPW2tVhfpZrjs__OcwgoZzfO93HUtBUcPCT5kT-Ff-9gmsqs8yn90Cp2CBaFG0jiCfqzGs63TZ_hTUUwiGfBjFeVzW_-Km7n3sV6bKwOWuLYqqq-4ZGXnETPN_QOsxfnnTtW9imFeMJRIIC15OVFzFO2MvNtvWi0nI8Fus6R8RN1QxPFZokAOghJ1Xe2lMfx6582X7wIyXC8s9WJzJj2bITmB8FP5wJNPP2Mfen9JUAL393xx2bHw5uv_7--RxTEhdadmQ1enzz0wkceNk-Yh03td7kvFcXdPLghmLvdA9pQNYmEYmLd-KA8o5G3w9-30GzRgYmYv2Pha2iCK5Bz-ahgZsxHo_rTe-6gArcLBIoCHJkD3dbCIphKYtmarAZDs4x3lLqXo7pXTPoKN7FXX1LzpP6cw7xsRnD3zftiH43aVdOJbHFJBfzYmpx1r4rLNfjKChgNg==&p=17&fvj=1&vjs=3
18,            Healthcare Data Analyst,National Coordination Center,NULL,Sponsored,"
            We are hiring data analysts to join our team. Responsibilities include manual data entry for healthcare-specific information included medications, scheduled…",NULL,NULL,"Seattle, WA",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dum2_FI7Z9-QES_bdyExBrR-4mptoBIIAtN0jWjlkHF-Yf6trNgFUEI1nxdm0vwP2UO9ecR_QspAwY8ZUjNRsSYewRKrU-XRSm8KXb62HthmuhqIdjMfpakuCirtYWIPQ1EZxwyWTywpB9g1yWGb_6pU701g3ela5y-l7yfZWjVVjpS8zQLqOQCYfjl_LqOZw1XGYQ1DkPz5gPnvtM9-E9JViNIIAtTQcl20gbOOKYrb-ZELX00IyXelHbsOzqo7jFs-UXVZ6gUppOkGMiInBqSgSoWO1DHkxYo5EpautHC10p4F0K7FP_gilhsD1C_tQetgO5WVH39LicwXkfVCSUuRj0r97iVFEB9EGengWmHMLT3TrnnfrMwrYtEIQWS3lPDjU5eviVqu9fxyzdXRne2jXGZ7-igjtDp4Nm341z-nnnacO9xRL1E31Qh2rSo8Y=&p=18&fvj=1&vjs=3
19,Data Analyst,Indeed Prime,NULL,Sponsored,"
            Indeed Prime is a free service that connects qualified job-seekers (that's you) with top companies hiring tech roles.",NULL,NULL,"Seattle, WA",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DhVAxkc_TxySVbUOs6bxWYWOfhmDTNcVTjFFBAY1FXZ9fPQPBH5rmPMvTA7rrKbYDLTmLTWpWm8g_NzvTL0EVIuL-FzDJYurZAj9nlBJEC33E4k3a8kjC_Y2r0tmRvpHwgmklilnZB1i_o3fmNnvjYHczbgatQTIn9eN2PBQSBu2uKvSS-Nm9NDqrLVCvHbKIwVfBEWDOEuh3qRJpH89roGADP72X94luoLeQEJfY2Og6lqOnr7_2SUIUigBG84fdJKSVkrrxZkkYp8-Lkw00zFM1B5GeBUs0VOSyxqANNaoJVx-c8bD7ivQ8ignPr58BXyEitarSL7h6hP3Qp67uGd1ZO38YhuSnEClQAPH77ifBbla0ed9U-zYr8oVBqA1MOMwJ8Tr5niaQtoF9eg6VmDmAnh6XxYvI_ekDV3VPHuo57sFLYuyW7UUwU0i0MS6ujr43JPluIfVYn6Z74_BbT15Qi1F_CPVfl1pNRSiKOEAiXmFFTdoVDDr_VpgQd7h1_h2BJLW5aqos_TF3LYhl5xAwmYnf45OeN4sc8w0IsMV73920HrwnB&p=0&fvj=1&vjs=3
20,            Manufacturing Operations Analyst,BOEING,4.0 out of 5 star rating,Sponsored,"
            Consistent in attention to detail and organizational skill set. Boeing Commercial Airplanes is seeking a Mid-Level Manufacturing Operations Analyst to join the…","6,687 reviews",https://www.indeed.com//cmp/Boeing/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=Manufacturing+Operations+Analyst&amp;fromjk=6ea536dc51b9761d&amp;jcid=edae4285faf6c2f0,"Everett, WA 98204 (Holly area)",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AlGq2ezw_zbUoQtb1YQBPO9HAJJllUnBIqAdZySIpvmhQj4Amzgmv8vIfW85wz64d4-oTjM2nThQNGC8tCmtphKRE655DeQKvwnRmDL-LhgpOWDEX48KRWCXyzCnPciR38itcH-JhCdFY_nmC8Hk5heYbt-QONq5WZbfl4DCwkVwG0Uau7K6-XQnlJQxkqhX4kl5WbDQDverVdSKMVKzsw1L9iT-97tsbo7gIz8Ht0a5pZAsiGpqglPkIYYw8q3ckzl_WcYBLBqAM_KuOqz9yVZzer9glDppBT5eYZFxtv67ii7WCtzQuN-Osq4mJmGT4N9L1ca4ZCni0mo7UoNh9CFpxzIadHb99y8Vzseb0zXuwToPLwjpeYRBHv-lnYsFnJMk2-fPL3Zgu75J0xbly1iSb7PQCjCaaetIeLBaBf750EZGUtEM5LOzf-O55EBzMM912twQR9iINhgfoimiI0MHDGD7gf0QDIbhaSElavDcOhFRLyQwhOTvosza55riMacdB2lN-wPOTtY5op_nsKlocMHRh3Yy70BROvEEBB6Ti1qPoute3x2YtRVr4QHtIqKz4gpl_NUQ05TCF7MnCg07AqA3DCe7lXFqmDdncsqTNQNQVR6RI1soLjrJR5fY8=&p=1&fvj=0&vjs=3
21,Data/Financial analyst,"Latitude 36, Inc",4.5 out of 5 star rating,21 hours ago,"
            Successful characteristics for the position are the ability to maintain a high level of attention to detail, the ability to work independently, adjust…",2 reviews,"https://www.indeed.com//cmp/Latitude-36,-Inc/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=Data%5C%2FFinancial+analyst&amp;fromjk=32bbbdefe69efbc7&amp;jcid=644dd4d137f34468",NULL,"https://www.indeed.com/company/Latitude-36,-Inc/jobs/Data-Financial-Analyst-32bbbdefe69efbc7?fccid=644dd4d137f34468&vjs=3"
22,            Junior Data Analyst,Team Red Dog,4.0 out of 5 star rating,26 days ago,"
Data de-duplication, data cleansing, hierarchy management, and data conversion. Build reports and maintain the datas integrity to partners amongst multiple data…",2 reviews,https://www.indeed.com//cmp/Team-Red-Dog/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=Junior+Data+Analyst&amp;fromjk=2b57f71261d7551a&amp;jcid=06979133f596a674,NULL,https://www.indeed.com/rc/clk?jk=2b57f71261d7551a&fccid=f654deb7a558ae97&vjs=3
23,Data Analyst (Customer Success Team),Suplari,NULL,4 days ago,"
            Motivated by customer obsession, the data analyst will leverage their expertise working with large, complex sets of data to ensure that our enterprise partners…",NULL,NULL,NULL,https://www.indeed.com/rc/clk?jk=16b78782eca6f17d&fccid=602d63cae1cb7d0b&vjs=3
24,            Project Consulting & Data Analyst,Logic Rule,NULL,save job - more...,"
            Only Candidates who are authorized to work in the US will be considered for this position. MS Office and Advanced Excel skills (Pivot tables, Charts, KPI…",NULL,NULL,NULL,https://www.indeed.com/rc/clk?jk=16cfa605c014e67f&fccid=a1bf55e1391577a6&vjs=3
25,Data Analyst - User Retention,doxo,4.5 out of 5 star rating,save job - more...,"
            3+ years of direct experience in a data analyst role, preferably in environments with data requirements from multiple sources. Doxo is disrupting bill pay.",2 reviews,https://www.indeed.com//cmp/Doxo/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=Data+Analyst+-+User+Retention&amp;fromjk=0bff982551f5cfeb&amp;jcid=a1f7794c208a33a3,NULL,https://www.indeed.com/rc/clk?jk=0bff982551f5cfeb&fccid=a1f7794c208a33a3&vjs=3
26,            Transit Data Analyst,IBI Group,3.6 out of 5 star rating,save job - more...,"
            The Transit Data practice also has a special emphasis on open data, and open data standards like GTFS/GTFS-real-time. Most of the things you’ll work on:",33 reviews,https://www.indeed.com//cmp/Ibi-Group-3/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=Transit+Data+Analyst&amp;fromjk=ace57d652e5658f3&amp;jcid=904e26b72f6a1767,NULL,https://www.indeed.com/rc/clk?jk=ace57d652e5658f3&fccid=7bf6a121333369a1&vjs=3
27,Data Analyst,GOCOOL,NULL,save job - more...,"
            Develop machine learning, data mining, statistical, and graph-based algorithms. Leverage data to perform intensive analysis across all areas of our business to…",NULL,NULL,NULL,https://www.indeed.com/rc/clk?jk=a4b0b1182c6ecf2e&fccid=5302b2b4db4fded5&vjs=3
28,            Healthcare Data Analyst,National Coordination Center,NULL,save job - more...,"
            We are hiring data analysts to join our team. Responsibilities include manual data entry for healthcare-specific information included medications, scheduled…",NULL,NULL,NULL,https://www.indeed.com/company/National-Coordination-Center/jobs/Healthcare-Data-Analyst-851e2eb8e78e643e?fccid=2725a5b73ce45704&vjs=3
29,            MicroStrategy Data Analyst/Consultant,Rational,4.4 out of 5 star rating,17 hours ago,"
            Ability to document reports and data flows. Values data, understands the story it tells and can forecast outcomes. This is a 6 month contract position.",8 reviews,https://www.indeed.com//cmp/Rational/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=MicroStrategy+Data+Analyst%5C%2FConsultant&amp;fromjk=5a5e22a6c645e3e0&amp;jcid=78e7d012f4b1490a,NULL,https://www.indeed.com/rc/clk?jk=5a5e22a6c645e3e0&fccid=78e7d012f4b1490a&vjs=3
30,            Materials Data Analyst,Ingersoll Rand,3.8 out of 5 star rating,19 hours ago,"
            Management and maintenance of the Master Data, Reordering Methods,including, but not limitedto root cause analysis of error.","1,046 reviews",https://www.indeed.com//cmp/Ingersoll--rand/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=Materials+Data+Analyst&amp;fromjk=5b1969b3aa4c585d&amp;jcid=fd5efb82569a4463,NULL,https://www.indeed.com/rc/clk?jk=5b1969b3aa4c585d&fccid=2e3453ae2db0c66d&vjs=3
31,            Board Certified Behavior Analyst (BCBA / BCaBA) - Great Pay!,Positive Behavior Supports Corporation (PBS),3.0 out of 5 star rating,Sponsored,"
            Professional Advancements as Lead Analyst. Custom Data Collection and Graphing. Board Certified Behavior Analyst or BCaBA (Required).",23 reviews,https://www.indeed.com//cmp/Positive-Behavior-Supports-Corporation-(pbs)/reviews?campaignid=cmplinktst2&amp;from=SERP&amp;jt=Board+Certified+Behavior+Analyst+%28BCBA+%5C%2F+BCaBA%29+-+Great+Pay%21&amp;fromjk=51a6fee40e66c178&amp;jcid=514f9ca96f71af2d,"Seattle, WA",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A8g3s1LXNhhn9AE6qjYtdqge2vSxrEjfs82HN4qs_8EwOegIwM8l3Fi44HdK6nQ3QUgRLKDSXaCPTL6tvYcOdvR-vSZuqaiVCSq8V6JU07v_WtPALKOGsISD4bYgvDtuDOkoc2MhtwCHxlKaQpF1QtgdjFXysKo4zE4Uje0dgnlHkdPyYOhJLmmU2utETNIsKFLqtsAW7Tn-k9xVD_MLtwIF49pChKYHfTwSw4bmHNbUoQZkRkip7pIchKuIACB3LMOXULWUz0cItC1IuJf-R3nncO2iOPJ5hn6SqKfWVcZnQcQ0ddGGZDpZkStwBaNtDb7LwbhZiLLx39D0SMSsl0SxclGgMWjXbx9KmuSVhud9NCWbbtsynwaLQ_yhQhfHDsB2ubObcWIYV9SKJuoDHLx5tdQAHik4A4Q1Ut88Z0faMdrNtC1Ito-gch4HYH5UBTpVQTn59K7zRqCVO_nGu8t4Yd01SjByXqTYr-FMIMR-UFqEIrLiWo&p=12&fvj=1&vjs=3
